referenceid	timestamp_started	timestamp_finished	nctid	reason_for_termination	primary_reason	secondary_reasons_1a	secondary_reasons_1b	secondary_reasons_1c	secondary_reasons_1d	secondary_reasons_1e	secondary_reasons_2a	secondary_reasons_2b	secondary_reasons_2c	secondary_reasons_2d	secondary_reasons_2e	secondary_reasons_3a	secondary_reasons_3b	secondary_reasons_none	open_text_1
367	2024-02-08 06:35:01	2024-03-11 08:53:56	NCT02067884	Slow accrual	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
1	2024-02-12 06:58:10	2024-02-27 04:09:01	NCT00150878	Insurance coverage reached	2e	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
2	2024-02-12 06:58:33	2024-02-27 04:10:07	NCT00480077	Low enrollment rates	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
3	2024-02-12 07:05:21	2024-03-11 08:54:42	NCT00618384	[No reason posted]	3a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
7	2024-02-12 07:13:08	2024-02-27 04:11:47	NCT00716833	poor recruitment	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
40	2024-02-12 07:16:31	2024-03-11 08:55:01	NCT00405873	Lack of efficacy	1c	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
5	2024-02-12 07:16:34	2024-02-27 04:11:05	NCT00672334	[No reason posted]	3a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
362	2024-02-12 07:17:49	2024-03-11 08:52:18	NCT01518465	Insufficient Accrual	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
364	2024-02-12 07:18:00	2024-03-11 08:52:51	NCT02127892	Closed due to slow accrual. Nine subjects enrolled over 7 years.	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
357	2024-02-12 07:19:25	2024-03-11 08:49:36	NCT00556907	Lack of Funding	2b	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
359	2024-02-12 07:19:32	2024-03-11 08:50:45	NCT02967380	Insufficient Accrual	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
355	2024-02-12 07:19:39	2024-03-11 08:49:00	NCT01801046	Insufficient Accrual	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
127	2024-02-12 07:19:53	2024-02-27 05:22:44	NCT00950274	Recruitment stopped due to slow recruitment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
4	2024-02-12 07:20:11	2024-02-27 04:10:31	NCT00640679	Due to slow enrollment the study was stopped prematurely.	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
8	2024-02-12 07:47:48	2024-02-27 04:12:11	NCT00798525	Supply of Lepirudin ended on 01. April 2012, thus trial terminated on 31. March 2012	2d	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
6	2024-02-27 04:11:13	2024-02-27 04:11:32	NCT00690118	The interim analysis showed no tendency in favour of the verum group. Therefore it was decided to stop the study prematurely.	1c	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
9	2024-02-27 04:12:16	2024-02-27 04:12:24	NCT00803309	At the end of the planned recruitment period the expected number of subjects could not be included in the trial.	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
10	2024-02-27 04:12:32	2024-02-27 04:12:46	NCT00986258	This clinical trial was terminated early, due to slow recruitment and study drug shortages.	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
11	2024-02-27 04:12:54	2024-02-27 04:13:10	NCT00996554	Feasibility reasons; recruitment was too slow.	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
12	2024-02-27 04:13:14	2024-02-27 04:13:57	NCT00999856	Two cohorts successfully completed; further cohorts not needed; no safety issue!	1b	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
13	2024-02-27 04:14:00	2024-02-27 04:14:12	NCT01021423	Terminated by sponsor due to new unpublished data that rendered the current design of the study no longer clinically relevant. There were no safety concerns.	1d	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
14	2024-02-27 04:14:17	2024-02-27 04:17:24	NCT01030666	shelf life of investigational drug ran out before 90 patients could be included	2d	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
15	2024-02-27 04:17:32	2024-02-27 04:17:44	NCT01143272	Masked independent interim analysis: completion of the trial was unlikely.	1c	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
16	2024-02-27 04:17:48	2024-02-27 04:17:55	NCT01178255	recruitment difficulties	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
17	2024-02-27 04:17:58	2024-02-27 04:18:35	NCT01239992	negative endpoint study resulting in withdrawal of study drug	1d	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
18	2024-02-27 04:18:38	2024-02-27 04:18:49	NCT01297712	enrollment terminated, analysis ongoing	3b	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
19	2024-02-27 04:18:52	2024-02-27 04:18:57	NCT01339026	Change in guidelines favouring newer antiplatelet drugs in ACS	1d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
20	2024-02-27 04:19:02	2024-02-27 04:19:16	NCT01564095	Missing evidence of the effectiveness of the study medication	1c	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
21	2024-02-27 04:19:27	2024-02-27 04:19:58	NCT01601496	Slow Enrollment	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
22	2024-02-27 04:20:01	2024-02-27 04:20:07	NCT00626548	early efficacy review by the Independent Data Monitoring Committee indicated it was unlikely to meet its primary efficacy endpoints	1c	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
23	2024-02-27 04:20:12	2024-02-27 04:20:19	NCT00746720	Patient recruitment difficulties	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
24	2024-02-27 04:20:23	2024-02-27 04:20:31	NCT00368121	Lack of recruitable patients	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
25	2024-02-27 04:20:34	2024-02-27 04:20:40	NCT00502554	insufficient patient recruitment and ECP capacity	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
26	2024-02-27 04:20:45	2024-02-27 04:20:51	NCT00663104	[No reason posted]	3a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
27	2024-02-27 04:20:54	2024-02-27 04:21:01	NCT00667667	[No reason posted]	3a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
28	2024-02-27 04:21:09	2024-02-27 04:21:21	NCT00708942	Slow recruitment, study stopped with only 13 of 70 patients included in second part of the study	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
29	2024-02-27 04:21:30	2024-02-27 04:23:10	NCT00720850	Low recruitment, scientific rationale not applicable anymore to all patients and possible induction of GvHD by the study drug	1a	0	0	0	1	NULL	1	0	0	0	0	0	0	0	NULL
30	2024-02-27 04:23:14	2024-02-27 04:23:34	NCT00823290	Investigator left site	2c	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
31	2024-02-27 04:23:38	2024-02-27 04:23:44	NCT00933374	delayed recruitment	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
32	2024-02-27 04:23:48	2024-02-27 04:25:17	NCT01079091	The foundations of our pilotstudy planning has changed.	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	Other option is external evidence, but reason not clear (same as NCT01079104)
33	2024-02-27 04:25:20	2024-02-27 04:25:55	NCT01079104	The foundations of our pilotstudy planning has changed.	2e	0	0	0	0	NULL	0	0	0	0	0	0	0	1	Other option is external evidence, but reason not clear (same as NCT01079091)
34	2024-02-27 04:26:00	2024-02-27 04:26:47	NCT01187888	IMP used off label by phys. in pat. with PSP. Thus no more eligible patients were available for the study(pre-treatm.with Rasagiline=exclusion criterion	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	1	NULL
35	2024-02-27 04:26:58	2024-02-27 04:27:06	NCT01215266	Slow recruitment	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
36	2024-02-27 04:27:16	2024-02-27 04:27:29	NCT01245985	slow recruitment (only 8 patients recruited and treated until 12&#x2F;2012)	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
37	2024-02-27 04:27:33	2024-02-27 04:27:42	NCT00125606	insufficient patient recruitement	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
38	2024-02-27 04:27:46	2024-02-27 04:27:52	NCT00331721	Scientific data called into question the viability of the substance class	1d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
39	2024-02-27 04:28:09	2024-02-27 04:28:17	NCT00368264	Failure to recruit patients with membranous lupus nephritis not previously treated with azathioprine .	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
41	2024-02-27 04:28:21	2024-02-27 04:28:37	NCT00457951	Interim analysis: safety without efficacy ODSH in patients with acute COPD.	1c	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
42	2024-02-27 04:28:41	2024-02-27 04:28:47	NCT00511160	Study suspended due to logistical&#x2F;personnel difficulties	2e	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
43	2024-02-27 04:28:50	2024-02-27 04:28:57	NCT00586794	[No reason posted]	3a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
44	2024-02-27 04:29:00	2024-02-27 04:29:06	NCT00623415	[No reason posted]	3a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
45	2024-02-27 04:29:10	2024-02-27 04:29:14	NCT00628797	lack of recruitement	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
46	2024-02-27 04:29:18	2024-02-27 04:30:11	NCT00647192	Inclusion rate too low. Recruitment of further study centers too costly.	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
47	2024-02-27 04:30:14	2024-02-27 04:32:45	NCT00663455	Recruitment goals were not achieved. Extension of the trial concept had to be abjected due to methodological reasons.	2a	0	0	0	0	NULL	0	0	0	0	0	0	1	0	NULL
48	2024-02-27 04:32:49	2024-02-27 04:32:54	NCT00682747	poor recruitment	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
49	2024-02-27 04:32:57	2024-02-27 04:33:03	NCT00691912	Study was stopped due because recrutation.was much slower as anticipated.	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
50	2024-02-27 04:33:06	2024-02-27 04:33:20	NCT00704002	[No reason posted]	3a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
51	2024-02-27 04:33:34	2024-02-27 04:33:41	NCT00776191	al study sites stoped on 15&#x2F;05&#x2F;2012 because of insufficient recrutement.	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
52	2024-02-27 04:33:44	2024-02-27 04:33:50	NCT00806468	lack of recruitment	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
53	2024-02-27 04:33:53	2024-02-27 04:33:58	NCT00823225	Insufficient recruitment of study patients	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
54	2024-02-27 04:34:01	2024-02-27 04:34:08	NCT00852059	Diffculties to recruit anticipated study size, now analysis	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
55	2024-02-27 04:34:12	2024-02-27 04:34:23	NCT00866684	Insufficient patient recruitment	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
56	2024-02-27 04:34:25	2024-02-27 04:34:29	NCT00881257	Data was inconclusive	1c	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
57	2024-02-27 04:34:35	2024-02-27 04:34:40	NCT00887276	[No reason posted]	3a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
58	2024-02-27 04:34:43	2024-02-27 04:35:41	NCT00930241	logistic reasons (insufficient funding, technical problems with MEMS)	2b	0	0	0	0	NULL	0	0	0	0	1	0	0	0	NULL
59	2024-02-27 04:35:44	2024-02-27 04:35:48	NCT00932724	The sponsor declared the early termination of the study due to poor recruitment of patients.	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
60	2024-02-27 04:35:52	2024-02-27 04:35:58	NCT00939939	Recruitment failure	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
61	2024-02-27 04:36:01	2024-02-27 04:36:06	NCT00967343	[No reason posted]	3a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
62	2024-02-27 04:36:09	2024-02-27 04:36:16	NCT01058369	Insufficient patient recruitment (only 2 patients)	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
63	2024-02-27 04:36:19	2024-02-27 04:36:25	NCT01058759	The external funding (pharmaceutical company) was stopped and could not be substituded by internal funding.	2b	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
64	2024-02-27 04:36:29	2024-04-15 07:36:02	NCT01069601	End of H1N1 Swine Flu Pandemic	3b	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
65	2024-02-27 04:38:20	2024-02-27 04:38:26	NCT01069965	Funding support withdrawn.	2b	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
66	2024-02-27 04:38:28	2024-02-27 04:38:36	NCT01071135	Planned number of 30 subjects could not be recruited during recruitment phase.	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
67	2024-02-27 04:38:38	2024-02-27 04:38:44	NCT01088256	[No reason posted]	3a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
68	2024-02-27 04:38:46	2024-02-27 04:38:51	NCT01088308	No enrollements for more than 6 months in Phase II	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
69	2024-02-27 04:38:53	2024-02-27 04:44:02	NCT01098565	The goal of collecting proof-of-concept information was met through additional modeling studies, new published evidence and information collected from the study	1b	0	0	0	0	NULL	0	0	0	0	0	0	0	0	This is another case for an early trial (phase 1 or 2) whcih has been terminated early as sufficient information has been collected; I categorized them now as &quot;Evidence of benefit&quot;, but it is rather enough evidence gather to answer the safety question
70	2024-02-27 04:44:25	2024-02-27 04:44:29	NCT01109966	[No reason posted]	3a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
71	2024-02-27 04:44:32	2024-02-27 04:44:37	NCT01199133	Following the DSMB recommendation. Study population being insufficiently symptomatic to enable differentiation between treatment and placebo. No safety concerns	1c	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
72	2024-02-27 04:44:44	2024-02-27 04:44:48	NCT01199783	Patient number to be enrolled not reachable in prospected time frame, decision to stop the study prematurely was made.	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
73	2024-02-27 04:44:52	2024-02-27 04:47:25	NCT01231854	delayed start of the trial, both treatment options already have market authorizations, study medication expired	2e	0	0	0	0	NULL	0	0	0	1	1	0	0	0	Not sure, market authorisation could be based on external evidence; otherwise a market authorisation would not necessarily make the study unnecessary. 
74	2024-02-27 04:47:30	2024-02-27 04:54:00	NCT01298830	Need for improvement of study medication. Safety data collected sufficient. No further gain in knowledge expected.	1a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	recategorize
75	2024-02-27 04:54:07	2024-02-27 04:54:16	NCT01320280	unexpectedly slow recruitment	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
76	2024-02-27 04:54:22	2024-02-27 04:54:28	NCT01341340	Discontinued due to poor enrollment. Insufficient number of patients enrolled to permit a statistically rigorous assessment of safety and efficacy.	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
77	2024-02-27 04:54:32	2024-02-27 04:54:38	NCT01357460	difficult patient recruitment	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
78	2024-02-27 04:54:41	2024-02-27 04:54:45	NCT01363921	insufficient patient recruiting	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
79	2024-02-27 04:54:48	2024-02-27 04:54:54	NCT01367691	[No reason posted]	3a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
80	2024-02-27 04:54:58	2024-02-27 04:55:05	NCT01374789	The study was terminated due to insufficient recruitment.	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
81	2024-02-27 04:55:08	2024-02-27 04:55:14	NCT01409850	Very slow enrollment of participants	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
82	2024-02-27 04:55:18	2024-02-27 04:55:25	NCT01410903	inadequately recruitment rate, funding is not secured	2a	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
83	2024-02-27 04:55:28	2024-02-27 04:55:31	NCT01434914	early termination due to poor recruitment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
84	2024-02-27 04:55:34	2024-02-27 04:55:39	NCT01447758	[No reason posted]	3a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
85	2024-02-27 04:55:42	2024-02-27 04:55:46	NCT01458015	[No reason posted]	3a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
86	2024-02-27 04:55:50	2024-02-27 04:55:53	NCT01531764	The recruitment was discontinued because of failure to meet expected enrolment goals	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
87	2024-02-27 04:55:58	2024-02-27 04:56:02	NCT01551407	slow inclusion rate	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
88	2024-02-27 04:56:09	2024-02-27 04:56:42	NCT01571895	Lack of efficacy observed at 1&#x2F;3 of the enrollment at investigated dosage. No results available.	1c	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
89	2024-02-27 04:56:45	2024-02-27 04:56:51	NCT01638585	recruition number was not reached	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
90	2024-02-27 04:56:53	2024-02-27 04:56:58	NCT01701843	prematurely terminated because of low recruitment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
91	2024-02-27 04:57:02	2024-02-27 04:57:06	NCT01740544	[No reason posted]	3a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
92	2024-02-27 04:57:09	2024-02-27 04:57:13	NCT02188212	[No reason posted]	3a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
93	2024-02-27 04:57:15	2024-02-27 04:57:19	NCT00839059	Results of an interim analysis and a hardly ongoing enrolment in the last 10 months in all six participating centres	1c	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
94	2024-02-27 04:57:22	2024-04-15 07:36:29	NCT01476553	Prematurely halted after interim data analysis	1e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	I checked the results publication https://pubmed.ncbi.nlm.nih.gov/30185117/ 
95	2024-02-27 05:02:34	2024-02-27 05:02:38	NCT01589211	Necessary number of participants not achieved and high drop out rate	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
96	2024-02-27 05:02:41	2024-02-27 05:02:44	NCT01352702	Slow recruitment; Study was terminated for futility reasons	1c	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
97	2024-02-27 05:02:47	2024-02-27 05:02:50	NCT02207582	no efficacy	1c	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
98	2024-02-27 05:06:20	2024-02-27 05:06:24	NCT02372318	Anticipated nr of 25 probands was not reached in terms of full data sets (missing data, low fMRI data quality), but time frame for recruitment ended.	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL
99	2024-02-27 05:07:22	2024-02-27 05:08:04	NCT02129400	The analysis of the blood samples was much expensive than calculated. The recruitment had to be stopped after 36 study participants.	2b	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
100	2024-02-27 05:08:07	2024-02-27 05:08:11	NCT02135926	Results from other RCT made randomization unethical.	1d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
101	2024-02-27 05:08:15	2024-04-15 07:36:42	NCT01817738	Follow up period after primary analysis was prematurely stopped because more mature data will not impact the study outcome	1e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	recategorize , Phase1/2 trial: sufficient (safety) information collected, a new category might be needed
102	2024-02-27 05:11:47	2024-02-27 05:12:19	NCT02034279	Low recruitment rate and expiration of the study drug	2a	0	0	0	0	NULL	0	0	0	1	0	0	0	0	NULL
103	2024-02-27 05:12:24	2024-02-27 05:12:28	NCT02340299	Slow recruitment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
104	2024-02-27 05:12:32	2024-02-27 05:12:35	NCT01647880	delayed recruitment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
105	2024-02-27 05:12:39	2024-02-27 05:12:42	NCT01440062	[No reason posted]	3a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
106	2024-02-27 05:12:46	2024-02-27 05:12:50	NCT01402739	Study terminated prematurely due to futility	1c	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
107	2024-02-27 05:12:56	2024-02-27 05:13:00	NCT01111448	Unfavourable Risk-Benefit-Ratio	1a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
108	2024-02-27 05:13:04	2024-02-27 05:13:07	NCT02078986	[No reason posted]	3a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
109	2024-02-27 05:13:10	2024-02-27 05:13:14	NCT01569412	[No reason posted]	3a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
110	2024-02-27 05:13:18	2024-02-27 05:13:29	NCT01067703	[No reason posted]	3a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
111	2024-02-27 05:13:34	2024-02-27 05:13:37	NCT01853384	based on outcome of trial NCT01656889.	1d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
112	2024-02-27 05:13:42	2024-02-27 05:13:46	NCT01148264	poor enrolment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
113	2024-02-27 05:13:53	2024-02-27 05:13:57	NCT01203228	[No reason posted]	3a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
114	2024-02-27 05:14:00	2024-02-27 05:14:06	NCT02384850	[No reason posted]	3a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
115	2024-02-27 05:14:09	2024-02-27 05:14:13	NCT01900327	Recruitment failure	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
116	2024-02-27 05:14:19	2024-02-27 05:14:37	NCT01405417	not enough data collected	2e	0	0	0	0	NULL	0	0	0	0	0	0	0	1	I am not sure, but they have included 70 patients, so it might be a rather administrative reason why they have not collected sufficient data
117	2024-02-27 05:14:40	2024-02-27 05:14:44	NCT01931592	One of the study drugs was no longer available on a worldwide level.	2d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
118	2024-02-27 05:14:48	2024-02-27 05:14:51	NCT01852526	device failure	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
