referenceid	timestamp_started	timestamp_finished	nctid	reason_for_termination	primary_reason	secondary_reasons_1a	secondary_reasons_1b	secondary_reasons_1c	secondary_reasons_1d	secondary_reasons_1e	secondary_reasons_2a	secondary_reasons_2b	secondary_reasons_2c	secondary_reasons_2d	secondary_reasons_2e	secondary_reasons_3a	secondary_reasons_3b	secondary_reasons_none	open_text_1
119	2024-02-27 05:14:54	2024-04-15 07:38:08	NCT02699034	Recommendation by BfArM after interim analysis	1e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	recategorize
120	2024-02-27 05:19:44	2024-02-27 05:21:50	NCT02380937	The study was terminated prematurely on 05May 2015 because of the unavailability of study devices.	2d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
121	2024-02-27 05:21:56	2024-02-27 05:22:00	NCT00923793	Recruitment was stopped, due to slow recruitment rate	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
122	2024-02-27 05:22:04	2024-02-27 05:22:08	NCT01534455	very slow patient recruitment and concerns about the actuality of the study design	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL
123	2024-02-27 05:22:13	2024-02-27 05:22:16	NCT02424552	recruitment problems	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
124	2024-02-27 05:22:20	2024-02-27 05:22:24	NCT01679405	No sufficient clinical or molecular signals for efficacy were observed.	1c	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
125	2024-02-27 05:22:27	2024-02-27 05:22:30	NCT01841632	[No reason posted]	3a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
126	2024-02-27 05:22:34	2024-02-27 05:22:37	NCT01540344	Slow recruitment.	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
128	2024-02-27 05:22:51	2024-02-27 05:23:07	NCT02052193	Second cohort not opened because Simon-Two_Step model failed	1c	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	 A small group of patients are enrolled in the first stage; and the enrollment of another group of patients in stage 2 is “conditional” on the outcome of the first group.
129	2024-02-27 05:23:16	2024-02-27 05:23:20	NCT01055522	[No reason posted]	3a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
130	2024-02-27 05:23:23	2024-02-27 05:23:29	NCT02820519	Intolerable high amount of adverse events	1a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
131	2024-02-27 05:23:34	2024-02-27 05:24:49	NCT01532453	For futility reasons and potential &quot;loss of chance&quot; for MD 3511356 group	1c	0	0	0	0	NULL	0	0	0	0	0	0	1	0	IMP 3511356 
132	2024-02-27 05:24:52	2024-02-27 05:26:21	NCT03854942	Recruitment rate could not be met in the study period, review group was dissolved before regular end of study. Recruitment was therefore terminated.	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL
133	2024-02-27 05:26:26	2024-02-27 05:26:29	NCT02585752	Low recruitment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
134	2024-02-27 05:26:33	2024-02-27 05:26:37	NCT02539680	insufficiant recruitment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
135	2024-02-27 05:26:40	2024-02-27 05:26:44	NCT02077309	bad recruitment of suitable participants, just 4 patients in one year	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
136	2024-02-27 05:26:47	2024-02-27 05:26:50	NCT01941550	Investigator left the site. Site closed.	2c	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
137	2024-02-27 05:26:53	2024-02-27 05:26:56	NCT01888796	bad recruitment of suitable participants, just 8 patients in one year	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
138	2024-02-27 05:26:59	2024-02-27 05:27:03	NCT01341106	insufficient patient numbers have been recruited	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
139	2024-02-27 05:27:05	2024-02-27 05:27:09	NCT01266187	Recruitment difficulities	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
148	2024-02-27 13:04:30	2024-03-04 06:56:54	NCT01370044	results of interim analysis (not safety relevant)	1c	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
140	2024-03-04 06:52:01	2024-03-04 06:52:41	NCT01262729	Feasibility and Recruitment problems	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	Does feasibility  mean anything more here?
141	2024-03-04 06:52:46	2024-03-04 06:52:55	NCT01242956	Problem to recruit sufficient patient number	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
142	2024-03-04 06:52:59	2024-03-04 06:53:03	NCT02475252	Recruitment too slow; study completion not possible within frame	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
143	2024-03-04 06:53:08	2024-03-04 06:53:17	NCT01402414	Difficulties with the Recruitement	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
144	2024-03-04 06:53:20	2024-03-04 06:54:15	NCT01563614	No patients can be recruited for this trial anymore due to other therapeutical approaches that became available.	1d	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
145	2024-03-04 06:54:20	2024-03-04 06:56:24	NCT02726048	Fisher &amp; Paykel Healthcare placed an administrative hold on the Simplus and Eson Non-Invasive Ventilation Evaluation study being conducted at Charite, Berlin	2e	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
146	2024-03-04 06:56:28	2024-03-04 06:56:33	NCT02019498	Recruitment problems	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
147	2024-03-04 06:56:36	2024-03-04 06:56:43	NCT01523938	[No reason posted]	3a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
149	2024-03-04 06:56:58	2024-03-04 06:57:06	NCT01259830	[No reason posted]	3a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
150	2024-03-04 06:57:45	2024-03-04 06:59:24	NCT02157363	poor recruitment due to change of surgical technique	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
151	2024-03-04 06:59:29	2024-03-04 06:59:34	NCT01146821	Low enrollment&#x2F; expiration of the grant	2a	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
152	2024-03-04 06:59:37	2024-03-04 06:59:41	NCT02595840	Futility	1c	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
153	2024-03-04 06:59:46	2024-03-04 06:59:51	NCT02541357	Recruitment insufficient	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
154	2024-03-04 06:59:54	2024-03-04 06:59:58	NCT02488694	unsufficient recruitment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
155	2024-03-04 07:00:02	2024-03-04 07:00:06	NCT02185703	Too slow recruitment rate	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
156	2024-03-04 07:00:11	2024-03-04 07:00:16	NCT02150473	[No reason posted]	3a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
157	2024-03-04 07:00:19	2024-03-04 07:00:23	NCT01755871	lack of recruitment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
158	2024-03-04 07:00:31	2024-03-04 07:00:35	NCT00977132	delayed recruitment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
159	2024-03-04 07:00:38	2024-03-04 07:00:42	NCT01176214	slow recruitment of patients	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
160	2024-03-04 07:00:48	2024-03-04 07:00:51	NCT02081053	Difficulty Enrolling	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
161	2024-03-04 07:00:55	2024-03-04 07:00:59	NCT00945126	Poor accrural	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
162	2024-03-04 07:01:02	2024-03-04 07:01:05	NCT00711542	Slow recruitment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
163	2024-03-04 07:01:18	2024-03-04 07:01:25	NCT01690572	recruitment was not sufficient.	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
164	2024-03-04 07:01:38	2024-03-04 07:02:29	NCT01517776	due to an altered benefit&#x2F;risk assessment.	1a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
165	2024-03-04 07:02:33	2024-03-04 07:02:37	NCT01060423	Terminated due to poor subject enrolment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
166	2024-03-04 07:02:41	2024-03-04 07:02:45	NCT01045512	unsufficient recruitment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
167	2024-03-04 07:02:49	2024-03-04 07:02:52	NCT02818959	Due to inability to recruit sufficient sample size in reasonable time frame.	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
168	2024-03-04 07:02:56	2024-03-04 07:03:34	NCT02606799	No further recruitment possible due to changed conditions	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
169	2024-03-04 07:03:38	2024-03-04 07:03:41	NCT02417103	Recruiting failure	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
170	2024-03-04 07:03:44	2024-03-04 07:04:33	NCT02071511	The Sponsor appreciate the devastating impact that the results of the SYMPLICITY HTN 3 trial had on research progress for renal denervation. Based on the lack of recent progress, it is no longer practical to maintain the agreement.	1d	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
171	2024-03-04 07:04:38	2024-03-04 07:04:41	NCT01887041	Recruiting problems	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
172	2024-03-04 07:04:45	2024-03-04 07:04:47	NCT01759238	unexpectedly slow recruitment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
173	2024-03-04 07:04:54	2024-03-04 07:04:57	NCT01021202	unexpectedly slow recruitment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
174	2024-03-04 07:05:00	2024-03-11 08:56:06	NCT00858793	A leukaemia case was reported in patient treated with a similar vector. For safety risk we stopped recruitment	1d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
175	2024-03-04 07:05:49	2024-03-04 07:05:54	NCT02728453	Insufficient recruitment.	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
176	2024-03-04 07:05:55	2024-03-04 07:05:59	NCT02374567	[No reason posted]	3a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
177	2024-03-04 07:06:07	2024-03-04 07:06:11	NCT01336530	The study stopped prematurely due to and administrative reasons, not based on grounds of safety.	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
178	2024-03-04 07:06:16	2024-03-04 07:06:19	NCT01117662	The planned recruitment number of 180 Patient could not been achieved.	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
179	2024-03-04 07:06:23	2024-03-04 07:08:07	NCT02772146	After 2 patients it was concluded that a large change in exclusion criteria and study design was needed to obtain the ojective for the study	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
180	2024-03-04 07:08:11	2024-04-15 07:38:46	NCT02130128	Sufficient clinical evidence was gathered	1e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1e. Sufficient (safety) information collected
181	2024-03-04 07:10:31	2024-03-04 07:11:21	NCT01666600	Interim Analysis for Feasibility	1c	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
182	2024-03-04 07:11:26	2024-03-04 07:11:29	NCT01617980	Slow accrual	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
183	2024-03-04 07:11:37	2024-03-04 07:11:40	NCT01362582	[No reason posted]	3a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
184	2024-03-04 07:11:43	2024-03-04 07:11:45	NCT00753441	Low patient accrual	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
185	2024-03-04 07:11:49	2024-03-04 07:11:51	NCT01522612	poor accrual	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
186	2024-03-04 07:11:56	2024-03-04 07:11:58	NCT02641782	Antibody supply was discontinued by United Therapeutics Corporation.	2d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
187	2024-03-04 07:12:02	2024-03-04 07:12:04	NCT02891863	Futility	1c	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
188	2024-03-04 07:12:16	2024-03-04 07:12:18	NCT02523859	Poor recruitment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
189	2024-03-04 07:12:21	2024-03-04 07:12:24	NCT00595647	insufficient enrollment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
190	2024-03-04 07:12:29	2024-03-04 07:12:31	NCT02039167	The recruitment rate was very poor. The study was stopped by amendment on 2015-08-28.	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
191	2024-03-04 07:12:35	2024-03-04 07:12:37	NCT02594332	recruitment problems	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
192	2024-03-04 07:12:40	2024-03-04 07:15:03	NCT01340690	The sample size of the planned interims analysis was achieved	3b	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
193	2024-03-04 07:15:20	2024-03-04 07:15:23	NCT00659867	Recruitment problems	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
194	2024-03-04 07:15:27	2024-03-04 07:15:30	NCT02312479	[No reason posted]	3a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
195	2024-03-04 07:15:32	2024-03-04 07:16:14	NCT00834314	extended obligations of amended medical device law in Germany 2010 did not allow to continue and complete the trial due to budget limitation	2b	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
196	2024-03-04 07:16:17	2024-03-04 07:18:02	NCT02675816	Study halted due to low recruitment. Reimbursement changes require a larger study with additional centers and therefore, a new study planned as replacement.	2a	0	0	0	0	NULL	0	0	0	0	0	0	1	0	NULL
197	2024-03-04 07:18:07	2024-03-04 07:18:09	NCT02139098	Recruiting problems because of the time expenditure required for participating and the strict criteria of inclusion and exclusion	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
198	2024-03-04 07:18:12	2024-03-04 07:18:15	NCT02207309	poor recruitment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
199	2024-03-04 07:18:20	2024-03-04 07:19:24	NCT01690325	Therapy of HER2+ patients according to protocol was no longer appropriate. Patient enrolment behind planned schedule and challenges of site performance	1d	0	0	0	0	NULL	1	0	0	0	1	0	0	0	NULL
200	2024-03-04 07:19:28	2024-03-04 07:20:14	NCT01439958	Core study 12011.201 was terminated.	3b	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
201	2024-03-04 07:20:18	2024-03-04 07:20:21	NCT01419002	lack of recruitment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
202	2024-03-04 07:20:29	2024-03-04 07:20:34	NCT01407679	[No reason posted]	3a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
203	2024-03-04 07:20:38	2024-03-04 07:23:32	NCT01303250	The final decision of the review of HES-containing solution shall be awaited.	1d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	HES-containing solutions were suspended from the market, https://www.ema.europa.eu/en/news/hydroxyethyl-starch-solutions-infusion-recommended-suspension-market
204	2024-03-04 07:23:38	2024-03-04 07:23:41	NCT00413127	Less patients than expected for inclusion, therefore patient recruitment is to low	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
205	2024-03-04 07:23:44	2024-03-04 07:23:47	NCT02058810	Lack of patients, PI left	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL
206	2024-03-04 07:23:51	2024-03-04 07:25:56	NCT02739685	Slow enrollment, access to devices	2a	0	0	0	0	NULL	0	0	0	1	0	0	0	0	NULL
207	2024-03-04 07:26:02	2024-03-04 07:26:05	NCT02632292	Slow enrollment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
208	2024-03-04 07:26:08	2024-03-04 07:26:12	NCT01312623	Terminated, because it is not possible to recruit enough participants	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
209	2024-03-04 07:26:15	2024-03-04 07:26:17	NCT02140138	Recruitment was terminated after enrolment of 35 instead of 36 evaluable patients for administrative reasons.	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
210	2024-03-04 07:26:20	2024-03-04 07:26:23	NCT01683864	Recruitment problems	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
211	2024-03-04 07:26:25	2024-03-04 07:26:27	NCT01582048	slow enrollment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
212	2024-03-04 07:26:33	2024-03-04 07:26:35	NCT01289938	To unsuccessful recruitment of rare UM-genotype. All other planned genotype groups are completed (EM, IM and PM).	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
213	2024-03-04 07:26:39	2024-03-04 07:26:41	NCT00961142	slow recruitment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
214	2024-03-04 07:26:46	2024-03-11 08:56:30	NCT02198482	development program of study drug volasertib was stopped by Boehringer Ingelheim due to manufacturing problems	2d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
215	2024-03-04 07:27:16	2024-03-04 07:27:19	NCT01837082	Insufficient recruitment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
216	2024-03-04 07:27:22	2024-03-04 07:27:24	NCT01397149	Insufficient recruitment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
217	2024-03-04 07:27:32	2024-03-04 07:27:35	NCT01611207	The patient recruitment was behind target, no successful completion of the planned patient numbers within trial period could be expected	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
218	2024-03-04 07:27:37	2024-03-04 07:27:39	NCT01165450	Drug manufacturer could not supply study drug.	2d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
219	2024-03-04 07:27:43	2024-03-04 07:27:45	NCT00506909	Break in funding	2b	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
220	2024-03-04 07:27:49	2024-03-04 07:27:51	NCT00470548	Practice patterns with pemetrexed have evolved.	1d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
221	2024-03-04 07:27:54	2024-03-04 07:28:07	NCT01614067	Slow enrollment resulted in withdraw of funding	2a	0	0	0	0	NULL	0	1	0	0	0	0	0	0	NULL
222	2024-03-04 07:28:14	2024-03-04 07:28:16	NCT01061671	Futility	1c	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
223	2024-03-04 07:28:19	2024-03-04 07:28:55	NCT02566278	Data collection has been halted. We are not recruiting any more subjects.	3b	0	0	0	0	NULL	0	0	0	0	0	0	0	1	no proper reason given why collection halted
224	2024-03-04 07:30:02	2024-03-04 07:30:05	NCT01373918	The study was terminated due to slow enrollment.	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
225	2024-03-04 07:30:07	2024-03-04 07:30:10	NCT02120027	Because of negative results of the sister study NAK-06 and the low overall response rate at week 24.	1d	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
226	2024-03-04 07:30:13	2024-03-04 07:30:16	NCT01963403	Futility of recruitment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
227	2024-03-04 07:30:19	2024-03-04 07:33:14	NCT01123161	The ICTuS 2 portion of the trial has been halted and data will be analyzed.	3b	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	 evidence of harm based on the publication: https://pubmed.ncbi.nlm.nih.gov/27834742/
228	2024-03-04 07:32:14	2024-03-04 07:34:44	NCT01261299	Contract ended	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
229	2024-03-04 07:34:50	2024-03-04 07:34:52	NCT02605304	The study experienced enrollment difficulties.	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
230	2024-03-04 07:35:00	2024-03-04 07:35:03	NCT02215161	Risk to benefit ratio is not acceptable	1a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
231	2024-03-04 07:35:10	2024-03-04 07:35:19	NCT02428309	Due to participant recruitment feasibility	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
232	2024-03-04 07:36:48	2024-04-15 07:39:09	NCT01116661	The primary objective for high grade gliomas has been met and the FDA has now approved the drug (Gleolan) for use in the United States.	1b	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1e. Sufficient (safety) information collected
233	2024-03-04 07:37:19	2024-03-04 07:37:22	NCT02147301	Risk to benefit ratio is not acceptable	1a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
234	2024-03-04 07:37:27	2024-03-04 07:39:35	NCT02444793	The study was terminated due to marginal efficacy and change in sponsor prioritization. The combination had a manageable safety profile.	1c	0	0	0	0	NULL	0	0	0	0	1	0	0	0	NULL
235	2024-03-04 07:40:21	2024-03-04 07:40:23	NCT02465983	Lack of efficacy and funding to continue investigation	1c	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
236	2024-03-04 07:40:27	2024-03-04 07:40:40	NCT02205307	Slow recruitment	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
237	2024-03-04 07:40:43	2024-03-04 07:40:49	NCT02254902	Changes in funding status	2b	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
