referenceid	timestamp_started	timestamp_finished	nctid	reason_for_termination	primary_reason	secondary_reasons_1a	secondary_reasons_1b	secondary_reasons_1c	secondary_reasons_1d	secondary_reasons_1e	secondary_reasons_2a	secondary_reasons_2b	secondary_reasons_2c	secondary_reasons_2d	secondary_reasons_2e	secondary_reasons_3a	secondary_reasons_3b	secondary_reasons_none	open_text_1
238	2024-03-04 07:40:54	2024-03-04 07:41:19	NCT01601626	The study was stopped early due to feasibility concerns.	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
239	2024-03-04 07:42:04	2024-03-04 07:42:09	NCT01098422	Halted due to slow enrollment	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
240	2024-03-04 07:42:12	2024-03-04 07:42:15	NCT02093962	At the interim analysis, the futility boundary was not met and the study was stopped due to insufficient efficacy.	1c	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
241	2024-03-04 07:42:20	2024-04-15 07:41:00	NCT02508441	Part 1 of the study was completed and the maximum tolerated dose determined. Part 2 of the study was terminated and will be conducted under a new protocol.	3b	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	I wonder if it is a real terminated trial as the first part has been completed; I would classify this under a new category &quot;Sufficient (safety) information collected&quot;
242	2024-03-04 07:43:12	2024-03-04 07:43:16	NCT01562132	Stopped in accordance with pre-specified stopping rules for poor recruitment.	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
243	2024-03-04 07:43:20	2024-03-04 07:43:22	NCT01841307	Difficulty recruiting; Funding ended; interim analysis provided sufficient data for interpretation.	2a	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
244	2024-03-04 07:43:25	2024-03-04 07:43:27	NCT01313923	Lack of funding	2b	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
245	2024-03-04 07:43:32	2024-03-04 07:43:35	NCT01510756	slow enrollment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
246	2024-03-04 07:43:38	2024-03-04 07:43:40	NCT01838499	At the planned IA for decision making, no evidence was demonstrated of MEDI8968 activity in reducing (HS) severity or pain over that seen with placebo.	1c	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
247	2024-03-04 07:43:48	2024-03-04 07:43:54	NCT01391949	[No reason posted]	3a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
248	2024-03-04 07:44:01	2024-03-04 07:44:04	NCT02046928	Slow enrollment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
249	2024-03-04 07:44:08	2024-03-04 07:44:11	NCT02327637	Low recruitment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
250	2024-03-04 07:44:17	2024-03-04 07:44:20	NCT00771862	Could not secure funding to complete the study.	2b	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
251	2024-03-04 07:44:24	2024-03-04 07:44:28	NCT02644122	Slow enrollment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
252	2024-03-04 07:44:33	2024-03-04 07:44:36	NCT02177773	FDA approved agent for this indication during enrollment	1d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
253	2024-03-04 07:44:39	2024-03-04 07:44:42	NCT02078895	The study was terminated due to low enrollment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
254	2024-03-04 07:44:45	2024-03-04 07:44:48	NCT02591381	Study was started but closed prior to completion because we could not meet enrollment numbers	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
255	2024-03-04 07:44:54	2024-03-04 07:45:10	NCT02719730	Change in study design to be a pilot with no randomization to intervention&#x2F;control	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	I wonder why a change in study design leads to a terminated trial and not a protocol change
256	2024-03-04 07:45:16	2024-03-04 07:45:22	NCT02317276	Unable to meet the study&#x27;s recruitment goals	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
257	2024-03-04 07:45:37	2024-03-04 07:46:22	NCT02634606	Unable to obtain supplement for this study. Unable to recruit.	2d	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	the investigational product is called supplement
258	2024-03-04 07:46:26	2024-03-04 07:46:30	NCT02745353	Couldn&#x27;t enough accrue patients	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
259	2024-03-04 07:46:33	2024-03-04 07:46:37	NCT02368691	Lack of Efficacy	1c	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
260	2024-03-04 07:46:40	2024-03-04 07:46:44	NCT01390584	slow accrual	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
261	2024-03-04 07:46:47	2024-03-04 07:46:50	NCT01683747	Lower than anticipated enrollment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
262	2024-03-04 07:46:54	2024-03-04 07:46:57	NCT01829347	Due to results from the VTI-208 study, the ELAD plan is being re-evaluated.	1d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
263	2024-03-04 07:47:00	2024-03-04 07:47:03	NCT02354092	[No reason posted]	3a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
264	2024-03-04 07:47:07	2024-03-04 07:47:10	NCT02605824	The study was closed after we determined that this albuterol&#x2F;NAC regimen may be associated with excessive bronchoconstriction.	1a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
265	2024-03-04 07:47:13	2024-03-04 07:47:17	NCT01545648	Low Accrual	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
266	2024-03-04 07:47:20	2024-03-04 07:47:25	NCT00632827	Manufacturing shortage of both Diftitox and Doxil	2d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
267	2024-03-04 07:47:31	2024-03-04 07:48:08	NCT01641601	Inadequate enrollment. Key study personnel transitioned to a different role.	2a	0	0	0	0	NULL	0	0	0	0	1	0	0	0	NULL
268	2024-03-04 07:48:12	2024-03-04 07:48:16	NCT02567448	Failed to accrue	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
269	2024-03-04 07:48:20	2024-03-04 07:48:22	NCT01821443	Loss of funding	2b	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
270	2024-03-04 07:48:26	2024-03-04 07:48:29	NCT01709474	Due to slow enrollment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
271	2024-03-04 07:48:33	2024-03-04 07:50:07	NCT02307552	The probe could not be anchored in place and would rotate about its axis, thus comparison was difficult.	2d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
272	2024-03-04 07:50:28	2024-03-04 07:50:31	NCT01721603	Low accrual	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
273	2024-03-04 07:50:34	2024-03-04 07:50:37	NCT01780636	POOR RECRUITMENT	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
274	2024-03-04 07:50:39	2024-03-11 09:01:01	NCT02294981	Protocol was changed to make it easier for treating doctors. No safety concerns	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	I find it a bit weird that they did not continue with the trial with a protocol change; 4 patients were included to find the best dosage for excimer laser phototherapy; this is an early phase study to find the right dosage
275	2024-03-04 07:51:14	2024-03-04 07:51:30	NCT02524106	Industry won&#x27;t be moving forward with production of bococizumab	2d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
276	2024-03-04 07:51:54	2024-03-04 07:51:57	NCT01211756	Break in funding	2b	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
277	2024-03-04 07:52:01	2024-03-04 07:52:04	NCT02672033	slow enrollment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
278	2024-03-04 07:52:08	2024-03-04 07:52:13	NCT01046773	Low enrollment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
279	2024-03-04 07:52:19	2024-03-04 07:52:23	NCT01773746	Poor Recruitment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
280	2024-03-04 07:52:27	2024-03-04 07:52:32	NCT01617291	A similar study was recently published with definitive results.	1d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
281	2024-03-04 07:52:36	2024-03-04 07:52:39	NCT01737593	Interim analysis revealed a negative effect.	1a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
282	2024-03-04 07:52:43	2024-03-11 08:58:21	NCT01943188	[No reason posted]	3a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
283	2024-03-04 07:52:50	2024-03-11 08:56:49	NCT02381392	Insufficient enrollment, investigator left institution	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL
284	2024-03-04 07:52:57	2024-03-04 07:53:38	NCT01290523	Off study clinical use of Y90 glass microspheres (TheraSphere)	1d	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
285	2024-03-04 07:53:42	2024-03-04 07:53:45	NCT01778855	[No reason posted]	3a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
286	2024-03-04 07:53:48	2024-03-04 07:54:18	NCT01502761	No safety issues. Low enrollment secondary to negative stroke studies 2013	1d	0	0	0	0	NULL	1	0	0	0	0	0	0	0	NULL
287	2024-03-04 07:54:21	2024-03-04 07:54:24	NCT00610467	Slow accrual	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
288	2024-03-04 07:54:27	2024-03-04 07:54:31	NCT02170298	Lack of enrollment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
289	2024-03-04 07:54:35	2024-03-04 07:54:47	NCT01402544	Per study sponsor decision.	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
290	2024-03-04 07:54:51	2024-03-04 07:54:53	NCT00751101	Low Accrual	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
291	2024-03-04 07:54:57	2024-03-04 07:54:59	NCT02728700	Accrual factor	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
292	2024-03-04 07:55:03	2024-03-04 07:55:06	NCT01615042	Lack of enrollment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
293	2024-03-04 07:55:10	2024-03-04 07:55:13	NCT01138553	Inadequate subject accrual	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
294	2024-03-04 07:55:23	2024-03-11 08:57:17	NCT02280395	Company merger resulted in business decision to terminate the study.	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
295	2024-03-11 08:08:54	2024-03-11 08:09:58	NCT01826305	[No reason posted]	3a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
296	2024-03-11 08:10:03	2024-03-11 08:10:08	NCT02450201	Low accrual	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
297	2024-03-11 08:10:18	2024-03-11 08:10:23	NCT01695473	Lack of Accrual	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
298	2024-03-11 08:10:26	2024-03-11 08:10:30	NCT01442714	Lack of efficacy - Inability to meet the primary response endpoint	1c	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
299	2024-03-11 08:10:34	2024-03-11 08:10:39	NCT01055028	Poor accrual	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
300	2024-03-11 08:10:45	2024-03-11 08:10:48	NCT02206776	poor tolerability and low enrollment rate	1a	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
301	2024-03-11 08:10:52	2024-03-11 08:10:58	NCT01719861	Lack of efficacy	1c	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
302	2024-03-11 08:11:02	2024-03-11 08:11:08	NCT01965002	Accrual factor	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
303	2024-03-11 08:11:11	2024-03-11 08:11:15	NCT02855086	logistics	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
304	2024-03-11 08:11:19	2024-03-11 08:11:22	NCT02736578	Logistics	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
305	2024-03-11 08:11:25	2024-03-11 08:14:01	NCT02757547	Business decision to discontinue development of this investigational device.	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	could alternatively be administrative, logistical or technical issues. 
306	2024-03-11 08:14:07	2024-03-11 08:14:25	NCT01034514	business decision	2e	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
307	2024-03-11 08:14:29	2024-03-11 08:14:36	NCT01094587	Enrollment difficulty	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
308	2024-03-11 08:14:41	2024-03-11 08:14:47	NCT01123005	Logistical	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
309	2024-03-11 08:14:54	2024-03-11 08:14:58	NCT01987375	logistics	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
310	2024-03-11 08:15:01	2024-03-11 08:15:06	NCT01067144	Trial met futility stopping point	1c	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
311	2024-03-11 08:15:13	2024-03-11 08:15:20	NCT02586415	Interim analysis showed a high likelihood of benefit in the endovascular group	1b	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
312	2024-03-11 08:15:22	2024-03-11 08:15:27	NCT02303041	Business Decision	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
313	2024-03-11 08:15:31	2024-03-11 08:15:35	NCT01020812	enrollment was too low	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
314	2024-03-11 08:15:38	2024-03-11 08:15:42	NCT01506726	Study drug expiration and supply shortage	2d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
315	2024-03-11 08:15:46	2024-03-11 08:15:58	NCT01868503	Protocol modification	3b	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	the reason for protocol modification is not mentioned
316	2024-03-11 08:16:01	2024-04-15 07:43:09	NCT01406795	Poor enrollment and advances in venoplasty only techniques of the femoral vein	1d	0	0	0	0	0	1	0	0	0	0	0	0	0	NULL
317	2024-03-11 08:18:28	2024-03-11 08:24:01	NCT01313884	Study did not reach primary objective; study did not accrue enough patients.	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL
318	2024-03-11 08:24:29	2024-03-11 08:24:32	NCT01893879	insufficient enrollment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
319	2024-03-11 08:24:35	2024-03-11 08:24:38	NCT01928030	Low accrual	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
320	2024-03-11 08:24:42	2024-03-11 08:24:46	NCT01364259	Patterns of practice changed and this technique is no longer used.	1d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
321	2024-03-11 08:24:50	2024-03-11 08:24:54	NCT01769222	Planned Future Study	3b	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
322	2024-03-11 08:24:58	2024-03-11 08:25:06	NCT03023709	Due to the ACIP guidelines halting the use of LAIV	1d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
323	2024-03-11 08:25:11	2024-03-11 08:25:14	NCT01823679	Low accrual	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
324	2024-03-11 08:25:18	2024-03-11 08:32:07	NCT02030405	Regulatory	1a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	not sure, but a regulatory decision most oftenly is a scientific decision. it is a phase 2 study, it could also just mean that enough data has been collected; there were other cases which I categorized as evidence of benefit
325	2024-03-11 08:32:10	2024-03-11 08:32:14	NCT02175745	Re-evaluate indication with the referring physicians	3b	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
326	2024-03-11 08:32:20	2024-03-11 08:32:24	NCT03028987	LAIV was no longer recommended by ACIP	1d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
327	2024-03-11 08:32:27	2024-03-11 08:32:32	NCT00481832	Accrual Factor	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
328	2024-03-11 08:32:37	2024-03-11 08:32:41	NCT02877732	The funding sponsor elected to terminate the study.	2b	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
329	2024-03-11 08:32:45	2024-03-11 08:32:49	NCT02415608	Slow accrual	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
330	2024-03-11 08:32:54	2024-03-11 08:32:57	NCT01846624	Accrual factor	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
331	2024-03-11 08:33:00	2024-03-11 08:33:05	NCT03206216	Business decision	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
332	2024-03-11 08:33:08	2024-03-11 08:33:11	NCT01472445	Slow accrual	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
333	2024-03-11 08:33:15	2024-03-11 08:33:19	NCT00568633	Poor accrual	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
334	2024-03-11 08:33:23	2024-03-11 08:33:28	NCT03061279	Problem negotiating other sites	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
335	2024-03-11 08:33:32	2024-03-11 08:33:36	NCT01745354	Accrual issues - Slow accrual	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
336	2024-03-11 08:33:40	2024-03-11 08:33:44	NCT01857752	accrual	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
337	2024-03-11 08:33:47	2024-03-11 08:33:51	NCT01904643	Accrual factor	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
338	2024-03-11 08:33:55	2024-03-11 08:33:58	NCT02075190	Dr. Gyurak is no longer doing and ended her NARSAD early.	2c	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
339	2024-03-11 08:34:01	2024-04-15 07:44:19	NCT02436460	Re-initiate a new trial per the discussion with FDA	1e	0	0	0	0	NULL	0	0	0	0	0	0	0	1	scientific reason but difficult to pinpoint
340	2024-03-11 08:44:55	2024-03-11 08:45:12	NCT02042157	Equipment malfunction.	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
341	2024-03-11 08:45:18	2024-03-11 08:45:22	NCT02890875	Low recruitment	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
342	2024-03-11 08:45:29	2024-03-11 08:45:33	NCT01188486	Business decision	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
343	2024-03-11 08:45:38	2024-03-11 08:45:42	NCT02429804	Accrual factor	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
344	2024-03-11 08:45:45	2024-03-11 08:45:49	NCT02435225	Change in goals of PI	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
345	2024-03-11 08:45:55	2024-03-11 08:46:00	NCT02708511	[No reason posted]	3a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
346	2024-03-11 08:46:04	2024-03-11 08:46:08	NCT02049801	logistics	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
347	2024-03-11 08:46:12	2024-03-11 08:46:15	NCT02635074	safety	1a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
348	2024-03-11 08:46:19	2024-03-11 08:47:57	NCT01192776	The trial closed for emerging safety profile and futility analysis and will not resume.	1a	0	0	1	0	NULL	0	0	0	0	0	0	0	0	NULL
349	2024-03-11 08:48:00	2024-03-11 08:48:07	NCT01954082	Study terminated due to safety concerns; participant follow up will continue until March 2018	1a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
350	2024-03-11 08:48:10	2024-03-11 08:48:16	NCT01614652	Company is closed	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
351	2024-03-11 08:48:20	2024-03-11 08:48:28	NCT02057991	Insufficient Accrual	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
352	2024-03-11 08:48:31	2024-03-11 08:48:35	NCT03115385	Funds ended.	2b	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
353	2024-03-11 08:48:39	2024-03-11 08:48:43	NCT01302405	closing due to low enrollment, no safety issues	2a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
354	2024-03-11 08:48:46	2024-03-11 08:48:51	NCT01153919	Approval of several new agents for the treatment of HCV infection would mitigate the future need for interferon HCV treatment	1d	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
356	2024-03-11 08:49:04	2024-03-11 08:49:15	NCT01238965	Adverse Events	1a	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
358	2024-03-11 08:49:43	2024-03-11 08:49:54	NCT01469338	lack of funding	2b	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
360	2024-03-11 08:50:55	2024-03-11 08:51:12	NCT02270684	Recruitment and retention difficulties	2a	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
361	2024-03-11 08:51:16	2024-03-11 08:51:39	NCT01866423	Not progressing toward scientific goals	1c	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	Phase 2 trial, could aslo be evidence of harm
363	2024-03-11 08:52:23	2024-03-11 08:52:40	NCT02370264	Study not progressing toward scientific goals	1c	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL
365	2024-03-11 08:52:54	2024-03-11 08:53:38	NCT03104816	Could not get an approval from Department Reviewer for the study continuation.	2e	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	seems like it is an internal department reviewer who can decide about study continuation
366	2024-03-11 08:53:41	2024-03-11 08:53:46	NCT01649258	Lack of Efficacy	1c	0	0	0	0	NULL	0	0	0	0	0	0	0	1	NULL
